02, 17-04-2017 21:50:59, Power               ,GPU temperature     ,GPU usage           ,FB usage            ,VID usage           ,BUS usage           ,Fan speed           ,Fan tachometer      ,Core clock          ,Memory clock        ,Memory usage        ,Temp limit          ,Power limit         ,Voltage limit       ,No load limit       ,CPU1 temperature    ,CPU2 temperature    ,CPU3 temperature    ,CPU4 temperature    ,CPU5 temperature    ,CPU6 temperature    ,CPU7 temperature    ,CPU8 temperature    ,CPU temperature     ,CPU1 usage          ,CPU2 usage          ,CPU3 usage          ,CPU4 usage          ,CPU5 usage          ,CPU6 usage          ,CPU7 usage          ,CPU8 usage          ,CPU usage           ,RAM usage           ,Pagefile usage           
80, 17-04-2017 21:51:00, 83.000              ,63.000              ,47.000              ,33.000              ,0.000               ,2.000               ,100.000             ,3317.000            ,1961.500            ,4006.800            ,3468.801            ,0.000               ,0.000               ,1.000               ,0.000               ,95.000              ,95.000              ,100.000             ,100.000             ,96.000              ,96.000              ,93.000              ,93.000              ,100.000             ,36.250              ,29.375              ,26.250              ,51.250              ,36.875              ,25.625              ,40.000              ,31.875              ,34.688              ,8592.000            ,12393.000           
80, 17-04-2017 21:51:00, 60.000              ,62.000              ,46.000              ,33.000              ,0.000               ,2.000               ,100.000             ,3309.000            ,1961.500            ,4006.800            ,3456.637            ,0.000               ,0.000               ,1.000               ,0.000               ,96.000              ,96.000              ,97.000              ,97.000              ,93.000              ,93.000              ,95.000              ,95.000              ,97.000              ,36.250              ,29.375              ,26.250              ,51.250              ,36.875              ,25.625              ,40.000              ,31.875              ,34.688              ,8582.000            ,12375.000           
80, 17-04-2017 21:51:01, 55.000              ,62.000              ,47.000              ,34.000              ,0.000               ,2.000               ,100.000             ,3284.000            ,1961.500            ,4006.800            ,3456.637            ,0.000               ,0.000               ,1.000               ,0.000               ,96.000              ,96.000              ,99.000              ,98.000              ,92.000              ,92.000              ,94.000              ,94.000              ,98.000              ,6.250               ,20.313              ,7.813               ,48.438              ,10.938              ,6.250               ,10.938              ,9.375               ,15.039              ,8582.000            ,12372.000           
80, 17-04-2017 21:51:01, 86.000              ,62.000              ,50.000              ,35.000              ,0.000               ,2.000               ,100.000             ,3301.000            ,1961.500            ,4006.800            ,3466.711            ,0.000               ,0.000               ,1.000               ,0.000               ,96.000              ,96.000              ,99.000              ,99.000              ,96.000              ,96.000              ,96.000              ,96.000              ,99.000              ,6.250               ,20.313              ,7.813               ,48.438              ,10.938              ,6.250               ,10.938              ,9.375               ,15.039              ,8583.000            ,12383.000           
80, 17-04-2017 21:51:03, 37.000              ,61.000              ,6.000               ,1.000               ,0.000               ,4.000               ,100.000             ,3329.000            ,1961.500            ,4006.800            ,3634.289            ,0.000               ,0.000               ,1.000               ,0.000               ,92.000              ,92.000              ,92.000              ,93.000              ,94.000              ,94.000              ,97.000              ,97.000              ,97.000              ,8.759               ,11.391              ,7.882               ,34.201              ,14.023              ,14.900              ,29.815              ,7.004               ,15.997              ,8795.000            ,12720.000           
80, 17-04-2017 21:51:04, 37.000              ,60.000              ,0.000               ,1.000               ,0.000               ,0.000               ,100.000             ,3322.000            ,1961.500            ,4006.800            ,3530.410            ,0.000               ,0.000               ,1.000               ,0.000               ,97.000              ,97.000              ,96.000              ,96.000              ,95.000              ,95.000              ,95.000              ,95.000              ,97.000              ,8.759               ,11.391              ,7.882               ,34.201              ,14.023              ,14.900              ,29.815              ,7.004               ,15.997              ,8689.000            ,12536.000           
80, 17-04-2017 21:51:04, 64.000              ,60.000              ,5.000               ,1.000               ,0.000               ,2.000               ,100.000             ,3303.000            ,1961.500            ,4006.800            ,3550.098            ,0.000               ,0.000               ,1.000               ,0.000               ,97.000              ,98.000              ,100.000             ,100.000             ,98.000              ,98.000              ,95.000              ,95.000              ,100.000             ,26.619              ,10.172              ,27.885              ,60.779              ,13.968              ,17.763              ,24.089              ,17.763              ,24.880              ,8665.000            ,12562.000           
80, 17-04-2017 21:51:04, 69.000              ,59.000              ,96.000              ,70.000              ,0.000               ,4.000               ,100.000             ,3282.000            ,1759.000            ,4006.800            ,3550.398            ,0.000               ,0.000               ,0.000               ,1.000               ,98.000              ,98.000              ,98.000              ,99.000              ,99.000              ,99.000              ,96.000              ,96.000              ,99.000              ,26.619              ,10.172              ,27.885              ,60.779              ,13.968              ,17.763              ,24.089              ,17.763              ,24.880              ,8676.000            ,12559.000           
80, 17-04-2017 21:51:05, 90.000              ,61.000              ,99.000              ,71.000              ,0.000               ,4.000               ,100.000             ,3290.000            ,1949.000            ,4006.800            ,3550.398            ,0.000               ,0.000               ,0.000               ,1.000               ,98.000              ,98.000              ,98.000              ,99.000              ,99.000              ,99.000              ,96.000              ,97.000              ,100.000             ,26.619              ,10.172              ,27.885              ,60.779              ,13.968              ,17.763              ,24.089              ,17.763              ,24.880              ,8679.000            ,12560.000           
80, 17-04-2017 21:51:05, 96.000              ,62.000              ,99.000              ,71.000              ,0.000               ,4.000               ,100.000             ,3245.000            ,1961.500            ,4006.800            ,3550.398            ,0.000               ,1.000               ,0.000               ,0.000               ,97.000              ,97.000              ,100.000             ,100.000             ,98.000              ,98.000              ,95.000              ,96.000              ,99.000              ,50.495              ,50.495              ,50.495              ,62.871              ,61.840              ,39.150              ,52.558              ,51.526              ,52.429              ,8668.000            ,12551.000           
