02, 17-04-2017 21:21:07, Power               ,GPU temperature     ,GPU usage           ,FB usage            ,VID usage           ,BUS usage           ,Fan speed           ,Fan tachometer      ,Core clock          ,Memory clock        ,Memory usage        ,Temp limit          ,Power limit         ,Voltage limit       ,No load limit       ,CPU1 temperature    ,CPU2 temperature    ,CPU3 temperature    ,CPU4 temperature    ,CPU5 temperature    ,CPU6 temperature    ,CPU7 temperature    ,CPU8 temperature    ,CPU temperature     ,CPU1 usage          ,CPU2 usage          ,CPU3 usage          ,CPU4 usage          ,CPU5 usage          ,CPU6 usage          ,CPU7 usage          ,CPU8 usage          ,CPU usage           ,RAM usage           ,Pagefile usage      
80, 17-04-2017 21:21:08, 58.000              ,64.000              ,32.000              ,23.000              ,0.000               ,1.000               ,70.000              ,2314.000            ,1936.000            ,4006.800            ,3246.254            ,0.000               ,0.000               ,0.000               ,1.000               ,96.000              ,96.000              ,98.000              ,98.000              ,99.000              ,99.000              ,95.000              ,96.000              ,98.000              ,43.829              ,47.254              ,49.310              ,55.475              ,57.530              ,48.625              ,61.640              ,65.065              ,53.591              ,8409.000            ,11957.000           
80, 17-04-2017 21:21:08, 58.000              ,64.000              ,39.000              ,28.000              ,0.000               ,1.000               ,70.000              ,2310.000            ,1936.000            ,4006.800            ,3246.254            ,0.000               ,0.000               ,0.000               ,1.000               ,95.000              ,95.000              ,97.000              ,97.000              ,99.000              ,99.000              ,96.000              ,96.000              ,100.000             ,43.829              ,47.254              ,49.310              ,55.475              ,57.530              ,48.625              ,61.640              ,65.065              ,53.591              ,8409.000            ,11959.000           
80, 17-04-2017 21:21:08, 44.000              ,64.000              ,37.000              ,26.000              ,0.000               ,1.000               ,70.000              ,2302.000            ,1936.000            ,4006.800            ,3246.254            ,0.000               ,0.000               ,0.000               ,1.000               ,94.000              ,94.000              ,99.000              ,99.000              ,99.000              ,99.000              ,94.000              ,94.000              ,99.000              ,43.829              ,47.254              ,49.310              ,55.475              ,57.530              ,48.625              ,61.640              ,65.065              ,53.591              ,8406.000            ,11962.000           
80, 17-04-2017 21:21:09, 50.000              ,64.000              ,38.000              ,27.000              ,0.000               ,1.000               ,70.000              ,2310.000            ,1936.000            ,4006.800            ,3246.254            ,0.000               ,0.000               ,0.000               ,1.000               ,98.000              ,98.000              ,100.000             ,100.000             ,100.000             ,100.000             ,97.000              ,97.000              ,99.000              ,21.811              ,24.374              ,30.783              ,39.756              ,33.347              ,29.502              ,37.192              ,19.247              ,29.502              ,8417.000            ,11962.000           
80, 17-04-2017 21:21:09, 62.000              ,64.000              ,38.000              ,28.000              ,0.000               ,1.000               ,70.000              ,2288.000            ,1936.000            ,4006.800            ,3246.254            ,0.000               ,0.000               ,0.000               ,1.000               ,95.000              ,95.000              ,97.000              ,97.000              ,98.000              ,98.000              ,96.000              ,96.000              ,98.000              ,21.811              ,24.374              ,30.783              ,39.756              ,33.347              ,29.502              ,37.192              ,19.247              ,29.502              ,8406.000            ,11963.000           
80, 17-04-2017 21:21:10, 47.000              ,64.000              ,36.000              ,26.000              ,0.000               ,1.000               ,70.000              ,2327.000            ,1936.000            ,4006.800            ,3246.254            ,0.000               ,0.000               ,0.000               ,1.000               ,93.000              ,93.000              ,100.000             ,100.000             ,98.000              ,98.000              ,97.000              ,97.000              ,100.000             ,29.688              ,7.813               ,26.563              ,34.375              ,28.125              ,32.813              ,37.500              ,15.625              ,26.563              ,8404.000            ,11959.000           
80, 17-04-2017 21:21:11, 34.000              ,63.000              ,6.000               ,1.000               ,0.000               ,3.000               ,70.000              ,2318.000            ,1936.000            ,4006.800            ,3369.270            ,0.000               ,0.000               ,0.000               ,1.000               ,96.000              ,96.000              ,99.000              ,99.000              ,99.000              ,99.000              ,96.000              ,96.000              ,99.000              ,29.688              ,7.813               ,26.563              ,34.375              ,28.125              ,32.813              ,37.500              ,15.625              ,26.563              ,8621.000            ,12324.000           
80, 17-04-2017 21:21:12, 34.000              ,62.000              ,4.000               ,1.000               ,0.000               ,3.000               ,70.000              ,2334.000            ,1936.000            ,4006.800            ,3320.289            ,0.000               ,0.000               ,0.000               ,1.000               ,97.000              ,97.000              ,99.000              ,99.000              ,99.000              ,99.000              ,96.000              ,96.000              ,99.000              ,20.419              ,18.478              ,23.331              ,38.859              ,35.947              ,11.685              ,44.682              ,15.567              ,26.121              ,8457.000            ,12077.000           
80, 17-04-2017 21:21:12, 34.000              ,62.000              ,0.000               ,1.000               ,0.000               ,0.000               ,70.000              ,2335.000            ,1936.000            ,4006.800            ,3319.957            ,0.000               ,0.000               ,0.000               ,1.000               ,94.000              ,94.000              ,95.000              ,95.000              ,97.000              ,97.000              ,94.000              ,94.000              ,98.000              ,20.419              ,18.478              ,23.331              ,38.859              ,35.947              ,11.685              ,44.682              ,15.567              ,26.121              ,8507.000            ,12089.000           
80, 17-04-2017 21:21:13, 34.000              ,60.000              ,14.000              ,7.000               ,0.000               ,1.000               ,70.000              ,2330.000            ,1278.000            ,4006.800            ,3329.270            ,0.000               ,0.000               ,0.000               ,1.000               ,97.000              ,97.000              ,98.000              ,98.000              ,97.000              ,97.000              ,97.000              ,97.000              ,98.000              ,29.627              ,17.532              ,32.926              ,32.926              ,45.021              ,9.835               ,31.826              ,13.133              ,26.603              ,8510.000            ,12133.000           
80, 17-04-2017 21:21:13, 69.000              ,61.000              ,94.000              ,68.000              ,0.000               ,2.000               ,70.000              ,2282.000            ,1759.000            ,4006.800            ,3330.020            ,0.000               ,0.000               ,0.000               ,1.000               ,97.000              ,97.000              ,99.000              ,99.000              ,98.000              ,98.000              ,97.000              ,97.000              ,99.000              ,29.627              ,17.532              ,32.926              ,32.926              ,45.021              ,9.835               ,31.826              ,13.133              ,26.603              ,8511.000            ,12154.000           
80, 17-04-2017 21:21:14, 88.000              ,63.000              ,81.000              ,58.000              ,0.000               ,2.000               ,70.000              ,2281.000            ,1949.000            ,4006.800            ,3330.020            ,0.000               ,0.000               ,0.000               ,1.000               ,98.000              ,98.000              ,100.000             ,100.000             ,100.000             ,100.000             ,98.000              ,98.000              ,100.000             ,29.627              ,17.532              ,32.926              ,32.926              ,45.021              ,9.835               ,31.826              ,13.133              ,26.603              ,8508.000            ,12141.000           
80, 17-04-2017 21:21:14, 97.000              ,64.000              ,89.000              ,64.000              ,0.000               ,4.000               ,70.000              ,2291.000            ,1949.000            ,4006.800            ,3330.020            ,0.000               ,0.000               ,0.000               ,1.000               ,97.000              ,97.000              ,99.000              ,99.000              ,99.000              ,99.000              ,97.000              ,97.000              ,99.000              ,68.434              ,63.173              ,65.278              ,80.008              ,73.695              ,68.434              ,76.852              ,76.852              ,71.591              ,8530.000            ,12163.000           
80, 17-04-2017 21:21:15, 97.000              ,64.000              ,98.000              ,70.000              ,0.000               ,4.000               ,70.000              ,2281.000            ,1936.000            ,4006.800            ,3330.020            ,0.000               ,1.000               ,0.000               ,0.000               ,98.000              ,98.000              ,98.000              ,98.000              ,99.000              ,99.000              ,97.000              ,97.000              ,100.000             ,68.434              ,63.173              ,65.278              ,80.008              ,73.695              ,68.434              ,76.852              ,76.852              ,71.591              ,8528.000            ,12161.000           
80, 17-04-2017 21:21:15, 94.000              ,65.000              ,98.000              ,71.000              ,0.000               ,4.000               ,70.000              ,2276.000            ,1923.500            ,4006.800            ,3330.020            ,0.000               ,0.000               ,0.000               ,1.000               ,97.000              ,97.000              ,99.000              ,99.000              ,99.000              ,99.000              ,97.000              ,97.000              ,100.000             ,70.751              ,61.515              ,73.830              ,79.988              ,70.751              ,67.672              ,69.212              ,70.751              ,70.559              ,8542.000            ,12194.000           
